"game_id","move","turn","game_turn_id","ad_id","message","expires_in","probability","reward"
"0aQRCOWE",buy,47,56158,eCR4IMhn,Help defending rocky plains in Razormountain from the intruders,7,Risky,"69"
"0aQRCOWE",buy,47,56158,HXNGgikE,Help defending savannah in Strongtown from the intruders,1,Quite likely,"82"
"0aQRCOWE",buy,47,56158,Irudq6ms,Help defending grassland in Dovecawl from the intruders,3,Walk in the park,"77"
"0aQRCOWE",buy,47,56158,HKSysJAs,Help defending thrift shoppe in Sharpwater from the intruders,4,Hmmm....,"72"
"0aQRCOWE",buy,47,56158,JuRtF01O,Help defending village in Bleakport from the intruders,4,Rather detrimental,"70"
"0aQRCOWE",buy,47,56158,"266PxTFp",Help defending island in Towerspring from the intruders,5,Suicide mission,"64"
"0aQRCOWE",buy,47,56158,"0KTOGUko",Help defending forest in Redshaw from the intruders,5,Walk in the park,"79"
"0aQRCOWE",buy,47,56158,GT46Jd3n,Help defending woodland in Burnsspring from the intruders,5,Risky,"67"
"0aQRCOWE",buy,47,56158,"60AS7vqM",Help defending manor in Westshaw from the intruders,7,Suicide mission,"80"
"0aQRCOWE",buy,47,56158,pT1tCuPr,Help defending thicket in Thorngill from the intruders,6,Playing with fire,"77"
"0aQRCOWE",solve,48,56162,HKSysJAs,Help defending thrift shoppe in Sharpwater from the intruders,3,Quite likely,"72"
"0aQRCOWE",solve,48,56162,Irudq6ms,Help defending grassland in Dovecawl from the intruders,2,Walk in the park,"77"
"0aQRCOWE",solve,48,56162,JuRtF01O,Help defending village in Bleakport from the intruders,3,Rather detrimental,"70"
"0aQRCOWE",solve,48,56162,"266PxTFp",Help defending island in Towerspring from the intruders,4,Suicide mission,"64"
"0aQRCOWE",solve,48,56162,"0KTOGUko",Help defending forest in Redshaw from the intruders,4,Piece of cake,"79"
"0aQRCOWE",solve,48,56162,GT46Jd3n,Help defending woodland in Burnsspring from the intruders,4,Risky,"67"
"0aQRCOWE",solve,48,56162,pT1tCuPr,Help defending thicket in Thorngill from the intruders,5,Playing with fire,"77"
"0aQRCOWE",solve,48,56162,eCR4IMhn,Help defending rocky plains in Razormountain from the intruders,6,Gamble,"69"
"0aQRCOWE",solve,48,56162,"60AS7vqM",Help defending manor in Westshaw from the intruders,6,Suicide mission,"80"
"0aQRCOWE",solve,48,56162,CbuKiAjz,Help defending thicket in Blooddale from the intruders,7,Playing with fire,"62"
"0RFKSwIp",buy,7,54553,DLYeKPlT,Help Rosamund Sudworth to reach an agreement with Zhihao Hayward on the matters of disputed horse,1,Piece of cake,"11"
"0RFKSwIp",buy,7,54553,DAVARfDg,Help Guto Banister to fix their chicken,2,Piece of cake,"7"
"0RFKSwIp",buy,7,54553,qBdlMcml,Help Eulalie Lindsey to fix their pot,3,Sure thing,"1"
"0RFKSwIp",buy,7,54553,GNZRiQwY,Help Alecto Fairchild to transport a magic potatoes to plains in Eastgill,4,Sure thing,"11"
"0RFKSwIp",buy,7,54553,bqI5fnAy,Help Leoncio Beaumont to reach an agreement with Quintilian Philips on the matters of disputed chicken,5,Piece of cake,"3"
"0RFKSwIp",buy,7,54553,ylV15r9e,Help Sheine Leavitt to transport a magic sheep to village in Millerwater,7,Sure thing,"20"
"0RFKSwIp",buy,7,54553,Y6PryGuG,Help Harris Everett to sell an unordinary potatoes on the local market,1,Quite likely,"13"
"0RFKSwIp",buy,7,54553,h89OhAkD,Help Isabela Kingston to sell an unordinary clothes on the local market,1,Gamble,"28"
"0RFKSwIp",buy,7,54553,e0tv1QQ0,Help Yordanka Statham to fix their wagon,1,Risky,"2"
"0RFKSwIp",buy,7,54553,"40v7TQgO",Help Bryn Vincent to write their biographical novel about their difficulties with a deranged turnips,1,Hmmm....,"38"
"0RFKSwIp",solve,8,54558,kKkQoXRP,Create an advertisement campaign for Gobnait Sauvage to promote their weed based business,7,Piece of cake,"32"
"0RFKSwIp",solve,8,54558,H3QQQnWm,Help Felicja Watkins to transport a magic horse to savannah in Darkmountain,7,Piece of cake,"15"
"0RFKSwIp",solve,8,54558,JgGq5Ped,Create an advertisement campaign for Roxelana Underhill to promote their sheep based business,7,Quite likely,"34"
"0RFKSwIp",solve,8,54558,QmBzb4SF,Create an advertisement campaign for Anđelka Josephs to promote their house based business,7,Hmmm....,"19"
"0RFKSwIp",solve,8,54558,MnA8wxh5,Steal pot delivery to Mat Ellsworth and share some of the profits with the people.,7,Sure thing,"56"
"0RFKSwIp",solve,8,54558,ylV15r9e,Help Sheine Leavitt to transport a magic sheep to village in Millerwater,6,Sure thing,"20"
