"game_id","move","turn","game_turn_id","ad_id","message","expires_in","probability","reward"
"0EHraGqU",buy,10,47771,mi9xIRWL,Help Jody Christians to write their biographical novel about their difficulties with a deranged wagon,1,Quite likely,"35"
"0EHraGqU",buy,10,47771,JKeGyMFd,Create an advertisement campaign for Munro Hambleton to promote their potatoes based business,2,Sure thing,"28"
"0EHraGqU",buy,10,47771,LGFpzZ8s,Create an advertisement campaign for Aleta Christophers to promote their wagon based business,5,Piece of cake,"27"
"0EHraGqU",buy,10,47771,WDKd2o1F,Help 'elifalet Underwood to write their biographical novel about their difficulties with a deranged cat,5,Risky,"40"
"0EHraGqU",buy,10,47771,gH3dwn8R,Help Hristina Dwerryhouse to sell an unordinary cat on the local market,5,Walk in the park,"30"
"0EHraGqU",buy,10,47771,T6gszE15,Help Trudy Jardine to write their biographical novel about their difficulties with a deranged chariot,5,Walk in the park,"32"
"0EHraGqU",buy,10,47771,nXYHQfTc,Steal sheep delivery to Ryan Watkins and share some of the profits with the people.,6,Walk in the park,"59"
"0EHraGqU",buy,10,47771,Dcw7UHdX,Help Renatus Bardsley to write their biographical novel about their difficulties with a deranged wagon,6,Hmmm....,"33"
"0EHraGqU",buy,10,47771,xFnq8gA6,Escort Elisabed Freyjasson to savannah in Fallmire where they can meet with their long lost wagon,7,Sure thing,"71"
"0EHraGqU",buy,10,47771,Q349AqaN,Create an advertisement campaign for Gordie Padmore to promote their sheep based business,7,Sure thing,"29"
"0EHraGqU",solve,11,47776,CrFs7Y6w,Steal squirrel delivery to Yuuna Aimar and share some of the profits with the people.,7,Walk in the park,"52"
"0EHraGqU",solve,11,47776,Q349AqaN,Create an advertisement campaign for Gordie Padmore to promote their sheep based business,6,Sure thing,"29"
"0EHraGqU",solve,11,47776,xFnq8gA6,Escort Elisabed Freyjasson to savannah in Fallmire where they can meet with their long lost wagon,6,Sure thing,"71"
"0EHraGqU",solve,11,47776,Dcw7UHdX,Help Renatus Bardsley to write their biographical novel about their difficulties with a deranged wagon,5,Quite likely,"33"
"0EHraGqU",solve,11,47776,nXYHQfTc,Steal sheep delivery to Ryan Watkins and share some of the profits with the people.,5,Walk in the park,"59"
"0EHraGqU",solve,11,47776,T6gszE15,Help Trudy Jardine to write their biographical novel about their difficulties with a deranged chariot,4,Walk in the park,"32"
"0EHraGqU",solve,11,47776,gH3dwn8R,Help Hristina Dwerryhouse to sell an unordinary cat on the local market,4,Walk in the park,"30"
"0EHraGqU",solve,11,47776,WDKd2o1F,Help 'elifalet Underwood to write their biographical novel about their difficulties with a deranged cat,4,Risky,"40"
"0EHraGqU",solve,11,47776,LGFpzZ8s,Create an advertisement campaign for Aleta Christophers to promote their wagon based business,4,Piece of cake,"27"
"0EHraGqU",solve,11,47776,JKeGyMFd,Create an advertisement campaign for Munro Hambleton to promote their potatoes based business,1,Sure thing,"28"
"0EHraGqU",buy,20,47804,P3ZhRtTz,Help Dot Botterill to write their biographical novel about their difficulties with a deranged water,7,Walk in the park,"52"
"0EHraGqU",buy,20,47804,VLxQY2x4,Create an advertisement campaign for Tsubaki Breckenridge to promote their horse based business,1,Walk in the park,"34"
"0EHraGqU",buy,20,47804,TCjAULIy,Help Taimi Blanchard to write their biographical novel about their difficulties with a deranged wagon,2,Risky,"36"
"0EHraGqU",buy,20,47804,VXDRYx4a,Rescue Séverine Stevens from meadow in Greyburg where they are attacked by angry pan,2,Hmmm....,"24"
"0EHraGqU",buy,20,47804,SvIji3BP,Create an advertisement campaign for Natale Norwood to promote their chariot based business,2,Piece of cake,"19"
"0EHraGqU",buy,20,47804,OTX23f9v,Rescue Zuri Morriss from field in Dornfirth where they are attacked by angry horse,2,Sure thing,"34"
"0EHraGqU",buy,20,47804,Sf10qXR6,Steal beer mug delivery to Ghislain Watkins and share some of the profits with the people.,4,Sure thing,"52"
"0EHraGqU",buy,20,47804,uFdnUIxV,Create an advertisement campaign for Syntyche Coleman to promote their weed based business,4,Piece of cake,"49"
"0EHraGqU",buy,20,47804,"13SpUtaJ",Steal water delivery to Bariş Thomson and share some of the profits with the people.,6,Walk in the park,"71"
"0EHraGqU",buy,20,47804,iV9dQqD8,Steal clothes delivery to Valero Cropper and share some of the profits with the people.,7,Piece of cake,"79"
"0EHraGqU",solve,21,47808,P3ZhRtTz,Help Dot Botterill to write their biographical novel about their difficulties with a deranged water,6,Walk in the park,"52"
"0EHraGqU",solve,21,47808,iV9dQqD8,Steal clothes delivery to Valero Cropper and share some of the profits with the people.,6,Piece of cake,"79"
"0EHraGqU",solve,21,47808,"13SpUtaJ",Steal water delivery to Bariş Thomson and share some of the profits with the people.,5,Walk in the park,"71"
"0EHraGqU",solve,21,47808,uFdnUIxV,Create an advertisement campaign for Syntyche Coleman to promote their weed based business,3,Piece of cake,"49"
"0EHraGqU",solve,21,47808,Sf10qXR6,Steal beer mug delivery to Ghislain Watkins and share some of the profits with the people.,3,Sure thing,"52"
"0EHraGqU",solve,21,47808,OTX23f9v,Rescue Zuri Morriss from field in Dornfirth where they are attacked by angry horse,1,Sure thing,"34"
"0EHraGqU",solve,21,47808,SvIji3BP,Create an advertisement campaign for Natale Norwood to promote their chariot based business,1,Sure thing,"19"
"0EHraGqU",solve,21,47808,u4vu13FB,Escort Vérène Willard to thrift shoppe in Fallwhyte where they can meet with their long lost squirrel,7,Hmmm....,"71"
"0EHraGqU",solve,21,47808,VXDRYx4a,Rescue Séverine Stevens from meadow in Greyburg where they are attacked by angry pan,1,Quite likely,"24"
"0EHraGqU",solve,21,47808,TCjAULIy,Help Taimi Blanchard to write their biographical novel about their difficulties with a deranged wagon,1,Risky,"36"
"0h6rwRsD",buy,23,51774,kFZOrp4k,Help defending pasture in Blackbane from the intruders,7,Piece of cake,"95"
"0h6rwRsD",buy,23,51774,oeVQyKKw,Create an advertisement campaign for Vedastus Headley to promote their bucket based business,1,Quite likely,"29"
"0h6rwRsD",buy,23,51774,v6O2Z6hS,Help Ryoichi Bennett to write their biographical novel about their difficulties with a deranged water,2,Risky,"28"
"0h6rwRsD",buy,23,51774,UQ8xQVkw,Create an advertisement campaign for Galila Robbins to promote their turnips based business,2,Rather detrimental,"34"
"0h6rwRsD",buy,23,51774,M754vfuN,Create an advertisement campaign for Sachairi Neville to promote their clothes based business,3,Walk in the park,"26"
"0h6rwRsD",buy,23,51774,"1lDgdEZL",Investigate Briella Chandler and find out their relation to the magic clothes.,1,Suicide mission,"149"
"0h6rwRsD",buy,23,51774,OXJfC5vd,Investigate Dado Phillips and find out their relation to the magic squirrel.,2,Gamble,"148"
"0h6rwRsD",buy,23,51774,ztNciuWb,Help defending village in Blackville from the intruders,6,Piece of cake,"117"
"0h6rwRsD",buy,23,51774,EU0sq922,Investigate Torquil Hollins and find out their relation to the magic bucket.,3,Rather detrimental,"125"
"0h6rwRsD",buy,23,51774,"9ee8nJ7Y",Help defending meadow in Metalburg from the intruders,7,Piece of cake,"103"
"0h6rwRsD",solve,24,51777,"7jP8pJ8V",Escort Gerrard Howland to meadow in Olddean where they can meet with their long lost dog,7,Hmmm....,"80"
"0h6rwRsD",solve,24,51777,v6O2Z6hS,Help Ryoichi Bennett to write their biographical novel about their difficulties with a deranged water,1,Gamble,"28"
"0h6rwRsD",solve,24,51777,UQ8xQVkw,Create an advertisement campaign for Galila Robbins to promote their turnips based business,1,Rather detrimental,"34"
"0h6rwRsD",solve,24,51777,M754vfuN,Create an advertisement campaign for Sachairi Neville to promote their clothes based business,2,Walk in the park,"26"
"0h6rwRsD",solve,24,51777,OXJfC5vd,Investigate Dado Phillips and find out their relation to the magic squirrel.,1,Gamble,"148"
"0h6rwRsD",solve,24,51777,ztNciuWb,Help defending village in Blackville from the intruders,5,Piece of cake,"117"
"0h6rwRsD",solve,24,51777,kFZOrp4k,Help defending pasture in Blackbane from the intruders,6,Piece of cake,"95"
"0h6rwRsD",solve,24,51777,EU0sq922,Investigate Torquil Hollins and find out their relation to the magic bucket.,2,Risky,"125"
"0h6rwRsD",solve,24,51777,"9ee8nJ7Y",Help defending meadow in Metalburg from the intruders,6,Piece of cake,"103"
"0h6rwRsD",solve,24,51777,AkKyvcNx,Escort Tanit Deering to thrift shoppe in Fernfire where they can meet with their long lost turnips,7,Piece of cake,"69"
"12Pj8fk7",buy,30,59300,EuZHp2Ka,Escort Chlodovech Chambers to peninsula in Darkdeen where they can meet with their long lost weed,2,Walk in the park,"65"
"12Pj8fk7",buy,30,59300,"1OIVsaRF",Help defending steppe in Lightscale from the intruders,2,Piece of cake,"82"
"12Pj8fk7",buy,30,59300,mw87pqM8,Help defending plains in Bleakshore from the intruders,2,Quite likely,"73"
"12Pj8fk7",buy,30,59300,lOAZuHy9,Help defending thrift shoppe in Lightdrone from the intruders,3,Sure thing,"86"
"12Pj8fk7",buy,30,59300,t3V8hcgz,Help defending grassland in Southbane from the intruders,3,Sure thing,"92"
"12Pj8fk7",buy,30,59300,xVo4aWFs,Help defending thrift shoppe in Eastpine from the intruders,3,Piece of cake,"101"
"12Pj8fk7",buy,30,59300,YmyfaNd5,Investigate Zala Cockburn and find out their relation to the magic beer mug.,2,Suicide mission,"115"
"12Pj8fk7",buy,30,59300,"7BJ9yjtp",Infiltrate The Skeleton Company and recover their secrets.,1,Hmmm....,"116"
"12Pj8fk7",buy,30,59300,"7QdcXm00",Infiltrate The Copper Reapers and recover their secrets.,2,Rather detrimental,"117"
"12Pj8fk7",buy,30,59300,pH2LkK7c,Infiltrate The Grizzly Gorillas and recover their secrets.,2,Risky,"133"
"12Pj8fk7",solve,31,59303,Ey8tE1ZI,Infiltrate The Ivory Alligator Gang and recover their secrets.,2,Rather detrimental,"142"
"12Pj8fk7",solve,31,59303,pH2LkK7c,Infiltrate The Grizzly Gorillas and recover their secrets.,1,Gamble,"133"
"12Pj8fk7",solve,31,59303,"7QdcXm00",Infiltrate The Copper Reapers and recover their secrets.,1,Risky,"117"
"12Pj8fk7",solve,31,59303,YmyfaNd5,Investigate Zala Cockburn and find out their relation to the magic beer mug.,1,Suicide mission,"115"
"12Pj8fk7",solve,31,59303,xVo4aWFs,Help defending thrift shoppe in Eastpine from the intruders,2,Piece of cake,"101"
"12Pj8fk7",solve,31,59303,t3V8hcgz,Help defending grassland in Southbane from the intruders,2,Sure thing,"92"
"12Pj8fk7",solve,31,59303,lOAZuHy9,Help defending thrift shoppe in Lightdrone from the intruders,2,Sure thing,"86"
"12Pj8fk7",solve,31,59303,mw87pqM8,Help defending plains in Bleakshore from the intruders,1,Quite likely,"73"
"12Pj8fk7",solve,31,59303,"1OIVsaRF",Help defending steppe in Lightscale from the intruders,1,Piece of cake,"82"
"12Pj8fk7",solve,31,59303,EuZHp2Ka,Escort Chlodovech Chambers to peninsula in Darkdeen where they can meet with their long lost weed,1,Walk in the park,"65"
"12Pj8fk7",buy,38,59321,y3LrNlL4,Help defending village in Sharpdale from the intruders,7,Quite likely,"101"
"12Pj8fk7",buy,38,59321,A3ndpKgX,Help defending peninsula in Razorshore from the intruders,6,Gamble,"114"
"12Pj8fk7",buy,38,59321,HMUBoQZw,Help defending pasture in Bleakhole from the intruders,6,Walk in the park,"101"
"12Pj8fk7",buy,38,59321,Xi0JrQJc,Help defending meadow in Burnshole from the intruders,6,Risky,"124"
"12Pj8fk7",buy,38,59321,lbHb6zFm,Help defending pasture in Blooddale from the intruders,5,Gamble,"97"
"12Pj8fk7",buy,38,59321,zouWgXa4,Help defending grassland in Metalport from the intruders,5,Gamble,"109"
"12Pj8fk7",buy,38,59321,ow2v59qW,Help defending grassland in Razorspring from the intruders,5,Gamble,"108"
"12Pj8fk7",buy,38,59321,WDPfcTzv,Help defending thrift shoppe in Ravenhole from the intruders,5,Piece of cake,"107"
"12Pj8fk7",buy,38,59321,"7Gz3uGYk",Help defending plains in Orrinshaw from the intruders,3,Piece of cake,"131"
"12Pj8fk7",buy,38,59321,"11VEZZLc",Help defending savannah in Razorcrest from the intruders,1,Piece of cake,"122"
"12Pj8fk7",solve,39,59326,"7Gz3uGYk",Help defending plains in Orrinshaw from the intruders,2,Piece of cake,"131"
"12Pj8fk7",solve,39,59326,WDPfcTzv,Help defending thrift shoppe in Ravenhole from the intruders,4,Piece of cake,"107"
"12Pj8fk7",solve,39,59326,ow2v59qW,Help defending grassland in Razorspring from the intruders,4,Gamble,"108"
"12Pj8fk7",solve,39,59326,zouWgXa4,Help defending grassland in Metalport from the intruders,4,Gamble,"109"
"12Pj8fk7",solve,39,59326,lbHb6zFm,Help defending pasture in Blooddale from the intruders,4,Gamble,"97"
"12Pj8fk7",solve,39,59326,Xi0JrQJc,Help defending meadow in Burnshole from the intruders,5,Risky,"124"
"12Pj8fk7",solve,39,59326,HMUBoQZw,Help defending pasture in Bleakhole from the intruders,5,Walk in the park,"101"
"12Pj8fk7",solve,39,59326,A3ndpKgX,Help defending peninsula in Razorshore from the intruders,5,Hmmm....,"114"
"12Pj8fk7",solve,39,59326,y3LrNlL4,Help defending village in Sharpdale from the intruders,6,Quite likely,"101"
"12Pj8fk7",solve,39,59326,J8JtgrPi,Help defending village in Ravenwell from the intruders,7,Piece of cake,"131"
"12Pj8fk7",buy,41,59330,ySMJo6DX,Help defending meadow in Whitescale from the intruders,7,Playing with fire,"120"
"12Pj8fk7",buy,41,59330,WDPfcTzv,Help defending thrift shoppe in Ravenhole from the intruders,2,Piece of cake,"107"
"12Pj8fk7",buy,41,59330,ow2v59qW,Help defending grassland in Razorspring from the intruders,2,Gamble,"108"
"12Pj8fk7",buy,41,59330,zouWgXa4,Help defending grassland in Metalport from the intruders,2,Gamble,"109"
"12Pj8fk7",buy,41,59330,lbHb6zFm,Help defending pasture in Blooddale from the intruders,2,Gamble,"97"
"12Pj8fk7",buy,41,59330,Xi0JrQJc,Help defending meadow in Burnshole from the intruders,3,Risky,"124"
"12Pj8fk7",buy,41,59330,HMUBoQZw,Help defending pasture in Bleakhole from the intruders,3,Walk in the park,"101"
"12Pj8fk7",buy,41,59330,A3ndpKgX,Help defending peninsula in Razorshore from the intruders,3,Hmmm....,"114"
"12Pj8fk7",buy,41,59330,y3LrNlL4,Help defending village in Sharpdale from the intruders,4,Quite likely,"101"
"12Pj8fk7",buy,41,59330,J8JtgrPi,Help defending village in Ravenwell from the intruders,5,Piece of cake,"131"
"12Pj8fk7",solve,42,59334,ySMJo6DX,Help defending meadow in Whitescale from the intruders,6,Playing with fire,"120"
